Store Name (EN),Store Name (AR),Reason Not Eligible,Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
AlSabbagh Clinics,AlSabbagh Clinics,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://alsabbaghclinics.com,info@alsabbaghclinics.com,"+966546223369, 966566223369",+966566223369,"https://instagram.com/alsabbagh.clinics, https://instagram.com/embed.js",sabbagh_clinics,alsabbagh.clinics,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alsabbagh-clinics,"paymentLink, split-in-4",ok,
Althemal Medical Center,Althemal Medical Center,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://althemal.com.sa,info@compant.com,966558677735,+966558677735,https://instagram.com/althemal_mc,althemal_mc,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/althemal-medical-center-0189523f-0f83-6b73-4796-a07a05602bc0,"paymentLink, split-in-4",ok,
Althowaini Medical Center,مجمع الثويني الطبي,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://althowaini.com,"hr@althowaini.sa, info@althowaini.sa, insur@althowaini.sa","05882352941, 11231774400966",,https://instagram.com/althowainic,althowainic,,althowainic,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-thowaini-medical-center,"paymentLink, split-in-4",ok,"Althowaini Medical Center Established in 1979, One of the Most Reliable Medical Centers in Riyadh"
Andalusia Group,Andalusia Group,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://andalusia-dentalcenters.com,info@andalusia.com,"+966122858450, 9660122166698, 966122858450",+966122858450,https://instagram.com/andalusia_hj,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/andalusia-dental-centers,"paymentLink, split-in-4",ok,"The first centers specialized in dental services in Jeddah, which provide various services to serve you with the qualified doctors."
Andalusia Kids Wellness,Andalusia Kids Wellness,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://andalusiackw.com,info@andalusia.com,"+966122858450, 9660122166698, 966122858450",+966122858450,https://instagram.com/andalusia_hj,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/andalusia-kids-wellness-01890d36-7d44-ac4c-148f-1565dd2642ed,"paymentLink, split-in-4",ok,
Aqua tots,Aqua tots,Education / training services,Education & Training,High,90,https://aqua-tots.com,"abuhamourinfo@aqua-tots.com, ahwatukeeinfo@aqua-tots.com, ajaxinfo@aqua-tots.com, allianceinfo@aqua-tots.com, alpharettainfo@aqua-tots.com, alsafainfo@aqua-tots.com","00966536853003, 0504441515, 0508019191, 0509527222, 05232783578, 0533366776",,https://instagram.com/aquatotsofficial,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aquatots-swim-schools,"deals, paymentLink, split-in-4",ok,"We are an American Learn to Swim School, teaching children from 4 months old till adults how to swim safely and confidently."
Ard aljuzur,Tourism,Travel & tourism services,Travel & Tourism,High,90,https://ajbooking.com,"admin@ajbooking.com, office@ardaljuzur.com","+966554046423, +966594629708, 966554046423",+966554046423,https://instagram.com/here_maldives,here_maldives,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ard-aljuzur,"paymentLink, split-in-4",ok,Specialise in luxury resort in Maldives.
Arjan Park,Arjan Park,Travel & tourism services,Travel & Tourism,High,90,https://arjanpark.sa,support@arjanpark.sa,"0500077659, 966500077659",+966500077659,https://instagram.com/arjanpark.sa,arjanpark_sa,arjanpark.sa,arjanpark-hotel,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/arjan-park,"paymentLink, split-in-4",ok,"Arjaan Park Hotels and Resorts The best chalets, resorts and hotels, your perfect choice for recreation and holding all occasions and parties. Live a life of calm and luxury"
ATCI,ATCI,Education / training services,Education & Training,High,90,https://americaninst.org,support@americaninst.org,05314453895,+13302031584,,bolt,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/atci-01895160-eb45-9e7a-e164-c38a9cb9ced4,"paymentLink, split-in-4",ok,
Aws,Aws,Entertainment / leisure services,Entertainment & Leisure,High,90,https://aws-ksa.com,vvcc209vv@outlook.sa,"+966559626223, 05227357636, 966505050505, 966559626223",,,aboutique_0,aboutique_1,ksa_a0,Entertainment,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aws-018c80e5-d75a-870b-052e-ad21304441ff,"paymentLink, split-in-4",ok,"Explore the latest brands featuring watches, women's handbags, and travel bags. Stay ahead with the newest trends."
Bakkah,Bakkah,Education / training services,Education & Training,High,90,https://bakkah.com,"contactus@bakkah.com, contactus@bakkah.net.sa","+966112827900, 966599035013",+966599035013,"https://instagram.com/bakkah_learning, https://instagram.com/bakkahlearningsa",bakkahinc,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/bakkah-learning,"qrFlow, split-in-4",ok,"Bakkah Learning offers professional training, led by certified experts to help trainers take their professional journey to the next level."
Be Group training Centre,Be Group training Centre,Education / training services,Education & Training,High,90,https://betraining.com.sa,"example@mail.com, info@betraining.com.sa, super.admin@system.com","+966543329789, 05053555366, 966543329789",+966543329789,https://instagram.com/betrainingsa,betrainingsa,betrainingsa,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/be-group-training-centre-0191e058-9f09-ad15-c642-56af42e1f245,"paymentLink, split-in-4",ok,
Bio Life Clinic,Bio Life Clinic,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://biolifeclinic.sa,"info@biolifeclinic.sa, support@yoursite.com","001800345678, 0018183334455, 0539394004, 0552304433, 920029292, 966552304433",+966552304433,https://instagram.com/biolife.clinic,biolife_clinics,biolife.clinic,biolife.clinic,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/bio-life-clinic-01890d36-7d45-0025-4af4-147cf1e67730,"paymentLink, split-in-4",ok,
Blue Ocean,Blue Ocean,Education / training services,Education & Training,High,90,https://blueoceanacademy.com,info@blueoceancorporation.com,,+971521769265,"https://instagram.com/blueoceanacademyindia, https://instagram.com/blueoceandubai","blueoceantrg, indiablueocean",blueoceandubai,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/blue-ocean-018b24bf-8cbd-ea10-34da-3cd9f595a5fb,"paymentLink, split-in-4",ok,
CBM Clinic,CBM Clinic,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://cbmclinic.com.sa/en,info@cbmclinic.com.sa,"0500000000, 920015565",,https://instagram.com/cbmclinic,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/care-and-beauty-medical-complex,"paymentLink, split-in-4",ok,We at the Care and Beauty Medical Complex for dental and dermatological services welcome you with a group of consultants and professional specialists.
Company EPTICAR AL-ULLOUM For research and studies,Company EPTICAR AL-ULLOUM For research and studies,Education / training services,Education & Training,High,90,https://researchibtikar.com,info@researchibtikar.com,"+966534439209, 00966534439209, 05314453895, 920088995",+966534439209,https://instagram.com/researchibtikarco,"bolt, place",researchibtikarco,researchibtikar,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Company-EPTICAR-AL-ULLOUM-For-research-and-studies-018fb460-9c08-d2d1-3a94-cf5a63c378e1,"paymentLink, split-in-4",ok,"Science Innovation Co. for Research and Studies provides research and development services, including setting research priorities and research plans, conducting studies and statistical analysis,"
Cosmoline Clinic,Cosmoline Clinic,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://cosmolineclinics.com,info@cosmolineclinics.com,"+966503050990, 920003642, 966920003642",+966920003642,https://instagram.com/cosmolineclinc,cosmolineclinc,cosmolineclinc,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/cosmoline-clinic-01890d36-7d45-0025-4af4-14abc03a7512,"paymentLink, split-in-4",ok,
Dentakay,Dentakay,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://dentakay.com,dentakay@dentakay.com,"05415008008, 05465594148",+905415008008,https://instagram.com/dentakay,dentakay,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/dentakay,"paymentLink, split-in-4",ok,“We make you smile”
Dr. Talal Merdad Medical Center,Dr. Talal Merdad Medical Center,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://drtalalmerdad.com.sa?lang=en,"info@drtalalmerdad.com.sa, support@drtalalmerdad.com.sa","+920022176, 0502558080, 0507559090, 0529120797, 0529159207, 0529581168",,https://instagram.com/dr_talalmerdad,dr_talalmerdad1,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Dr.-Talal-Merdad-Medical-Center-01911dcc-e4c3-d55c-1573-dc0bda2ab54a,"paymentLink, split-in-4",ok,"This merchant offers a wide range of products across various categories, ensuring that customers find what they need. Their selection includes high-quality items that cater to diverse preferences and "
DRB Arabia,درب العربية,Entertainment / leisure services,Entertainment & Leisure,High,90,https://drbarabia.com,info@drbarabia.com,966538344824,+966538344824,https://instagram.com/theleafcamp.sa,theleafcamp,theleafcamp.sa,,Entertainment,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/drb-arabia-0192cd51-3847-6897-c51f-02271f01c518,"paymentLink, split-in-4",ok,
Drslounge,Drslounge,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://drslounge.sa,wecare@drslounge.net,"05012836109, 05012848888, 05105387960, 05105430558, 0521169571, 05371587454",,https://instagram.com/drslounge,loungedrs,drslounge,drslounge,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/drslounge,"paymentLink, split-in-4",ok,
DSAH,DSAH,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://dsah.sa,feedback@dsah.sa,920012525,+920012525,https://instagram.com/dsahospital,dsahospital,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/dr-samir-abbas-hospital,"paymentLink, split-in-4",ok,A tertiary healthcare provider in Jeddah KSA serving the country from the heart of Jeddah through a 100-bed facility with multiple specialties delivered with excellence under 6 Centers of Excellence
Eastern Observatory Company EOC,شركة المرصد الشرقي للتجارة,Education / training services,Education & Training,High,90,https://eobservatory.com.sa/ar,eocsa.ksa@gmail.com,"+966583011802, 966583011802",,https://instagram.com/eoc.ksa,companyeoc,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Eastern-Observatory-Company-EOC-018f3318-ec99-1efc-da51-71e6b9dc2c14,"paymentLink, split-in-4",ok,"This merchant offers a diverse range of products across various categories, ensuring that customers can find what they need in one place. The focus is on quality and customer satisfaction, making it a"
Enala Hotels & Resorts,Enala Hotels & Resorts,Travel & tourism services,Travel & Tourism,High,90,https://enala.sa,reservations@enala.sa,"+966505686932, 0505557749, 05806069493, 966565557749","+966505686932, +966565557749",https://instagram.com/enala.sa,enala_sa,enala.sa,enala.sa,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/enala-hotels-and-resorts-01895440-7de1-00ab-9238-c27b65c86a8f,"paymentLink, split-in-4",ok,Welcome to a world of relaxation and excellence
Environment Friend Training Center,Environment Friend Training Center,Salon & spa services,Beauty Services (Salons & Spas),High,90,https://eftcsaudi.com,"sales@eftcsaudi.com, waqas@eftcsaudi.com","+966561813699, 0507328990, 966549193491",,https://instagram.com/eftcsaudi,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Environment-Friend-Training-Center-018e0382-bf6c-a04b-bd36-dfda2b99299b,"paymentLink, split-in-4",ok,"ENVIRONMENT FRIEND TRAINING CENTER is a reputable HSE course training institute in Saudi Arabia. We offer a variety of international HSE certification courses, including NEBOSH, IOSH, OSHA, Defensive "
Eternal Beauty,Eternal Beauty,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://eternalbeauty.sa,sales@eternalbeauty.sa,"0502888911, 05391403130, 920020902, 966502888911",,https://instagram.com/eternalbeautysa,eternalbeautys1,eternalbeautysa,eternalbeautysa,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/eternal-beauty-01895455-d3f0-ab0a-726b-a6be07bc4cea,"paymentLink, split-in-4",ok,
EYEWORLD,EYEWORLD,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://eyeworldsa.com/ar,clinic@eyeworldsa.com,"+966114509394, +966535610400, 966535610400",,https://instagram.com/eyesworldsa,eyesworldsa,eyeworldriyadh,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/eyeworld-0189541b-d10e-a9a1-6408-b6517520bd44,"paymentLink, split-in-4",ok,
FBO Auto,FBO Auto,Salon & spa services,Beauty Services (Salons & Spas),High,90,https://fboauto.com,sales@fbogarage.com,+966544111277,,https://instagram.com/fbo_garage,fbo_garage,,fbo_garage,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/fbo-auto-01895231-8ce8-2192-c93d-b29b0da9ed72,"paymentLink, split-in-4",ok,
film rent,film rent,Salon & spa services,Beauty Services (Salons & Spas),High,90,https://filmrent.net,sales@filmrent.net,"+966551218518, 966551218518",+966551218518,https://instagram.com/film_rent,film_rent,film_rent,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/film-rent-01895387-f06d-8068-7a1a-fe8fcdbb4355,"paymentLink, split-in-4",ok,"This merchant offers a diverse range of products across various categories. Customers can explore a wide selection of items that cater to different needs and preferences, ensuring a satisfying shoppin"
fly gawish,fly gawish,Travel & tourism services,Travel & Tourism,High,90,https://fly-gawish.com,"hashimsalahalden5@gmail.com, info@fly-gawish.com","05554870595, 920033414, 966547553175",,https://instagram.com/flygawish,,flygawish,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/fly-gawish-018f0f4e-25c7-fc9f-3c54-adf6ed8c153c,"paymentLink, split-in-4",ok,"Fly Jawish is a leading company in the tourism and aviation sector, and it is part of the global Airbus Tours group. They offer flight bookings, tourist programs, and travel packages."
fly week,اسبوع الطيران,Travel & tourism services,Travel & Tourism,High,90,https://salla.sa/flaye-wyek,marketing@flyweektravel.com,"+966920003284, 966555427559, 966920003284","+966555427559, +966920003284",https://instagram.com/flyweektravel,flyweektravel,fly_week,fly-week,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/fly-week-018bc7b4-13f2-e983-9c8f-5b8854006d11,"paymentLink, split-in-4",ok,
Freese,فريزيه,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://freese-rehab.com,freeserehab@gmail.com,"+966506022759, 00447502740330, 00966506022759, 00966920028535, 0506022759, 920028535",+966506022759,https://instagram.com/freeserehab,freeserehab,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mrkz-thmn-rmdn-thmn-hmd-llt-hyl-0191ffe5-574c-8fbf-f7df-6ada9f8c0202,"paymentLink, split-in-4",ok,
Fursan,فرسان,Travel & tourism services,Travel & Tourism,High,90,https://fursan.com.sa,contactus@fursan.com.sa,+966920000442,,https://instagram.com/fursantravel,fursantravel,fursantravelsa,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/fursan-018e5bba-bb92-5284-332d-86d8035e4da3,"paymentLink, split-in-4",ok,
GNP,GNP,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://gnp.sa,info@gnp.com.sa,"+966920021518, 05391403130, 920021518",,https://instagram.com/gnp.hospitals,gnphospitals50,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/gnp-018ffb81-8247-b662-1e14-b44c38e9de54,"paymentLink, split-in-4",ok,
Hamez,همّز,Salon & spa services,Beauty Services (Salons & Spas),High,90,https://hamez.sa,info@hamez.sa,"05002300801, 05192409199, 05207545338, 05291791728, 05417779008, 05494021777",+966556689575,"https://instagram.com/hamez.sa, https://instagram.com/hamezsa",hamezsa,"hamez.sa, hamezsa","hamez.sa, hamezsa",Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/shrk-hmzt-lrydy-018eb804-32f2-0f6e-3c51-e555bf79c500,"paymentLink, split-in-4",ok,
Hojuzaty,Hojuzaty,Travel & tourism services,Travel & Tourism,High,90,https://hojuzaty.com,care@hojuzaty.com,+966920032018,+966920032018,https://instagram.com/hojuzaty,hojuzatyg,hojuzaty_saudi,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/hojuzaty-almasyia-travel-and-tourism-01931fbb-7428-0efa-f95e-164c77f03dda,"paymentLink, split-in-4",ok,
HomeHealers,HomeHealers,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://home-healers.com,"customer.service@home-healers.com, info@nondacoffee.com, support@home-hellers.com, u003ecustomer.service@home-healers.com, you@company.com","+966118289771, +966920035730, 920035730, 966920035730",+966920035730,https://instagram.com/homehealers.hsc,healershome,homehealers,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/homehealers-0191135f-03f0-2a99-a5d4-a892b43ecb3f,"paymentLink, split-in-4",ok,
House of supplements,بيت المكملات,Meal-plan / food subscription service,Food Service & Restaurants,High,90,https://hos-sa.com,m.salaheldin@houseofsupplements.net,"+966566239782, 00966566239782, 966566239782",+966566239782,https://instagram.com/house_supplements,,,,Meal plans,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/house-of-supplements-01911bf7-b2e1-9b7b-da8c-02e88ea9b00f,"paymentLink, split-in-4",ok,
IIPD Training,معهد الإبتكار و التطوير المهنى,Education / training services,Education & Training,High,90,https://iipdglobal.com,training@iipdglobal.com,"+966597985805, +966598356635, +97125866112, +97143456732, +971503831380, +971503831877","+971503831380, +971503831877",https://instagram.com/iipdglobal,iipdglobal,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/IIPD-Training-018aa2c9-42b0-83cc-1b09-d561509c7920,"paymentLink, split-in-4",ok,"Dubai's leading institute for professional training in various fields including Industrial Automation, IIoT, Instrumentation, Mechanical and Electrical Engineering, Digital Marketing, Oil & Gas, Robot"
Jod clinic,Jod clinic,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://jodclinic.sa,jodsitecontact@gmail.com,"+966580249383, +966920014144, 920014144, 966508014144, 966920014144",+966920014144,https://instagram.com/jodclinics,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/jod-clinic,"paymentLink, split-in-4",ok,"Beauty has a title...and its title is Jod. We offer you the key to the secret of your beauty and elegance. At Joud, we understand how important it is to shine and take care of your beauty."
Kadina Medical Center,Kadina Medical Center,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://kadina.com.sa,"info@kadina.com, info@kadina.com.sa","+966114555444, 966504311543, 966530017449, 966530306670, 966550066108, 966550066290","+966504311543, +966530017449, +966530306670, +966550066108, +966550066290, +966550066312","https://instagram.com/dr.hussam_alghamdi, https://instagram.com/dr_allazzam","dr7us, dr_almodaimeegh",,"dr.7us, dr.ealmukhadeb",Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/kadina-medical-center-018e5baf-43ac-b545-eb6c-8e8d8245d781,"paymentLink, split-in-4",ok,offers a full range of surgical and non-surgical cosmetic procedures and many services under the supervision of a first-class medical staff using the latest technologies and devices in the Kingdom.
Kesay medical corner,Kesay medical corner,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://kesay.sa,"info@domainname.com, info@kesay.sa",920010359,,,,kesay.sa,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/kesay-medical-corner-01890d36-7d46-519d-5d1b-887cd1caf3ec,"paymentLink, split-in-4",ok,
Ledgergate,Ledgergate,Education / training services,Education & Training,High,90,https://ledgergate.in,info@ledgergate.in,"+919280800400, +919567222333, 9567222333",,https://instagram.com/ledgergateacademy,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ledgergate,"paymentLink, split-in-4",ok,Ledgergate is CMA USA Executive Institution
,Loran Dental Clinics  |  عيادات لوران لطب الأسنان,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://loranclinics.com,info@loranclinics.com,"05228758169, 0522875817, 05292530210, 05555555555, 05882352941, 05882352944",+966532454058,"https://instagram.com/loran.clinics, https://instagram.com/loranclinics",loran_clinics,loran.clinics,loran_clinics,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/loran-dental-clinics-ydt-lwrn-ltb-l-snn-018f0ead-ff67-f4c9-2c0f-c3d3f72d94dc,"paymentLink, split-in-4",ok,A group of magicians in the world of dentistry with over 25 years of experience. Laurent is where confidence and beauty are
masaraat training center,مركز مسارات للتدريب,Education / training services,Education & Training,High,90,https://masaraat.edu.sa/index.php,info@masaraat.edu.sa,"05068821106, 05516984057, 0570191047, 966570003647",+966570003647,https://instagram.com/masaraat_training_center,masaraat4u,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ksa-mrkz-msrt-lltdryb-01938860-e31e-b2f8-0bec-502e74968c20,"paymentLink, split-in-4",ok,
